COUNTRY,DATE_IMPLEMENTED,CATEGORY,MEASURE,COMMENTS
Brazil,2020-04-03,Governance and socio-economic measures,Economic measures,"Bill passed by the Federal Senate earlier this week to provide some income for the poorest, unemployed and workers in the informal economy with no fixed income, as well as states and municipalities to combat the COVID-19."
Brazil,2020-04-08,Movement restrictions,Domestic travel restrictions,"In Bahia, the authorities have suspended intercity public transport across the state until 15 April"
Brazil,2020-04-08,Social distancing,Limit public gatherings,"In Bahia, the authorities have banned gatherings of more than 50 people until 19 April."
Brazil,2020-04-08,Movement restrictions,International flights suspension,"extended until 30/4/2020. nonresident foreign nationals are barred from entering the country by air until April 30, except in cases where the traveler is in transit and the final destination country will permit them to enter. The restrictions do not apply to air, ground, or maritime freight transport."
Brazil,2020-04-08,Movement restrictions,Border closure,"closure of all ground border crossings to nonresident foreign nationals through at least May 2, while entry by water remains prohibited through April 30. extended until at least 2/5/2020"
Brazil,2020-04-08,Lockdown,Partial lockdown,extended a statewide quarantine until at least April 22
Brazil,2020-04-08,Social distancing,Closure of businesses and public services,extneded: all non essentials until 3/5/2020
Brazil,2020-04-08,Social distancing,Limit public gatherings,"ban on gatherings of 30 or more people, and the cancellation of public events until at least April 30."
Brazil,2020-04-08,Movement restrictions,Domestic travel restrictions,extended reduced public transportation until 3 May.
Brazil,2020-04-08,Social distancing,Schools closure,extended until furher notice
Brazil,2020-04-08,Public health measures,Health screenings in airports and border crossings,ordered health screenings for passengers entering the state by train from Rio de Janeiro and Sao Paulo
Brazil,2020-04-08,Movement restrictions,Domestic travel restrictions,flights from Rio de Janeiro and Sao Paulo have been canceled until further notice
Brazil,2020-04-15,Governance and socio-economic measures,Emergency administrative structures activated or established,"On 15 April 2020, the Federal Supreme Court unanimously affirmed that irrespective of the guidelines and recommendations issued by the Ministry of Health states and municipalities have the autonomy to concurrently adopt norms and measures to combat the outbreak and decide, within the limits of their powers, which services and activities are considered essential in their jurisdiction."
Brazil,2020-04-16,Public health measures,Strengthening the public health system,"Brazilian government intensifies service to indigenous people included: quality of care and the distribution of Personal Protective Equipment to health professionals; anticipation of vaccination of indigenous peoples, scheduled to begin on April 16; assistance to indigenous people who are in urban areas; expansion of transfers of funds from the federal government to states and municipalities to increase assistance. The delegation also informed that more resources will be used to improve the quality of care at the Casas de Sa�de do �ndio (CASAI) and to increase beds for medium and high complexity available to indigenous people. Issues related to the burial of victims of COVID-19, receiving social benefits, security and food surveillance were also addressed."
Brazil,2020-04-16,Public health measures,Other public health measures enforced,"Due to the vulnerability of indigenous peoples, the Ministry of Health decided to bring vaccination against Influenza to April 16. The indigenous people will receive vaccination teams in their villages that will adopt all the prevention and control measures for the new coronavirus already established by the Ministry of Health. The Trivalent Influenza vaccine that will be used in the campaign has the following composition: Influenza Type A (H1N1) pdm09 , Influenza Type A (H3N2) and Influenza Type B (Victoria)."
Brazil,2020-04-17,Public health measures,Psychological assistance and medical social work,"This Friday (April 17), the Ministry of Health and the Pan American Health Organization (PAHO / WHO) launched a campaign that aims to mitigate the negative effects of the COVID-19 pandemic on the mental health of Brazilians."
Brazil,2020-04-22,Public health measures,Strengthening the public health system,Ministry of Health expands to 46.2 million test acquisition
Brazil,2020-04-24,Public health measures,Strengthening the public health system,"The Federal Government is transferring R $255.6 million to fund exclusive ICU beds for patients with COVID-19. Each bed will receive R $1.6 thousand per night, double the normal value"
Brazil,2020-04-30,Movement restrictions,International flights suspension,"extended until 28 May. Exceptions* citizens and residents, family members of Brazilians, diplomats, humanitartian operations, and persons traveling on behalf of the Brazilian government and crew. All-cargo operations are permitted. and passengas needing to pass through to one of he neighboring countries."
Brazil,2020-04-30,Governance and socio-economic measures,Emergency administrative structures activated or established,"The Ministry of Health, in partnership with the Ministry of Women, Family and Human Rights, launched on Thursday (04/30), the National Contingency Plan for the care of Elderly People in Situations of Extreme Social Vulnerability. The initiative will primarily serve the elderly population linked to Long-Term Care Institutions for the Elderly (ILPI) and beneficiaries of social programs."
Brazil,2020-05-01,Public health measures,Psychological assistance and medical social work,"Ministry of Health guarantees psychological support to SUS professionals. Teleconsultation, between May and September, and destined to doctors, nurses, nursing technicians, among others. In all, R $2.3 million will be invested"
Brazil,2020-05-01,Movement restrictions,International flights suspension,"phase 1 of easing restrictions: As of 1 May, flights from Brazil to USA to pickup"
Brazil,2020-05-02,Movement restrictions,Visa restrictions,"extended until at least 28 may: all foreign travellers are banned entry into the country. *Exceptions include: citizens and residents, family members of Brazilians, diplomats and persons traveling on behalf of the Brazilian government and crew. All-cargo operations are permitted"
Brazil,2020-05-02,Movement restrictions,Border closure,"extended: All land borders with neighbouring countries are closed until 29 May. These countries include: Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru, Suriname and Venezuela. Land border with Uruguay is closed until further notice. Nationals from their respective countries may enter. Brazilian nationals and residents are exempt from entry restrictions, as well as humanitarian aid and cargo trucks."
Brazil,2020-05-04,Public health measures,Strengthening the public health system,"more than 250 health professionals, hired by the Ministry of Health, arrived in the state of Amazonas to reinforce the service to the population and undergo training"
Brazil,2020-05-11,Social distancing,Closure of businesses and public services,"On 11 May, President Bolsonaro announced that gyms, hair salons, and beauty parlors will be included in the list of �essential services� and will be allowed to operate."
Brazil,2020-05-12,Social distancing,Closure of businesses and public services,"Gyms, hair salons, and beauty parlours will be included in the list of �essential services� and will be allowed to operate."
Brazil,2020-05-16,Lockdown,Partial lockdown,Cities have been implementing lockdown measures. Sao Luis (Maranhao state) lockdown is in place until 14 May. Fortaleza (Ceara state) from 8 May until 20 May. Some municipalities in Para state from 7 May until 17 May. Recife (the capital of Pernambuco state) along with three other cities in the state will be on lockdown from 16 May - 30 May. Rio de Janeiro will impose vehicular restrictions in ten of the city�s districts beginning on 12 May. Sao Paulo governor has extended the quarantine until 31 May.
Brazil,2020-05-22,Movement restrictions,Visa restrictions,"May 22, Brazil extended the current ban on foreigners entering the country by air for an additional 30 days (through June 21). Those in the following categories are exempt: Brazilian citizens, born or naturalized; Permanent residents of Brazil; Foreign professionals employed by a non-governmental aid organization recognized by the Brazilian government; Foreign officials accredited by the Brazilian government; Spouse, domestic partner, son or daughter, father or mother, or caregiver of a Brazilian citizen; Any person whose entrance into Brazil is deemed by the government to be in the public interest; and travelers in transit."
Brazil,2020-05-25,Movement restrictions,Border closure,"extended closure of all land borders to non residents* Vehicles in cross-border humanitarian actions and residents of twin cities exclusively with a land border can also enter, except for Venezuelans."
Brazil,2020-05-25,Movement restrictions,Visa restrictions,TEMPORARY BAN ON DISEMBARK OF CREWMEMBERS AT BRAZILIAN PORTS EXTENDED
Brazil,2020-05-29,Public health measures,Strengthening the public health system,Public laboratories expand COVID-19 testing capacity by 451%
Brazil,2020-05-29,Governance and socio-economic measures,Economic measures,"extended for 60 days on 29/5/2020: In the context of combating COVID-19, on 4 April 2020, the president of Brazil enacted Provisional Measure no. 945 (MP 945/2020), which provides for changes in the recruitment and remuneration of casual port work to protect the workforce and preserve jobs in the port sector, critical to the supply chain and the domestic economy. It also regulates the temporary cession of military aprons for use by private companies that provide air transport services. The Act introduces changes in the way port operators recruit casual port workers (dockers, stevedores, watchmen, etc.) from the Casual Port Work Managing Body (OGMO) and the regime of compensation for those port workers infected with the coronavirus or within the risk group"
Brazil,2020-06-01,Social distancing,Closure of businesses and public services,"Some economic activity will be permitted to resume in Sao Paulo from Monday, June 1, including the reopening of shopping malls, Stores, offices, car dealerships, and real estate brokerages will also be allowed to reopen as long as social distance is maintained and masks are worn."
Brazil,2020-06-01,Public health measures,Requirement to wear protective gear in public,"amidst some economic activities opening, masks ae required in stores etc."
Brazil,2020-06-10,Public health measures,Strengthening the public health system,Federal and state government deliver three more indigenous wards to hospitals in Par�
Brazil,2020-06-19,Governance and socio-economic measures,Emergency administrative structures activated or established,Ministry of Health publishes guidelines for safe resumption of activities
Brazil,2020-06-26,Public health measures,Isolation and quarantine policies,"S�o Paulo's Governor Jo�o Doria announced on Friday, June 26, that the existing quarantine restrictions introduced due to the coronavirus disease (COVID-19) pandemic will be extended until July 14"
Brazil,2020-06-30,Movement restrictions,Border closure,"June 30, Brazil extended for an additional 30 days (through July 29) the decree banning foreigners from entering the country by air, land, and sea. This is an extension of previous border closures and includes new exemptions Those in the following categories are exempt: Brazilian citizens, born or naturalized; Permanent residents of Brazil; Foreign professionals employed by a non-governmental aid organization recognized by the Brazilian government; Foreign officials accredited by the Brazilian government; Spouse, domestic partner, son or daughter, father or mother, or caregiver of a Brazilian citizen; Any person whose entrance into Brazil is deemed by the government to be in the public interest; and travelers in transit."
Brazil,2020-06-30,Movement restrictions,Border closure,Regarding foreigners who are in a land border country and need to cross it to embark on a flight back to their country of residence may enter Brazil with authorization from the Federal Police
Brazil,2020-06-30,Movement restrictions,Visa restrictions,"extended the temporary restriction on the entry of foreign nationals by air, sea and land. With immediate effect, Interministerial Ordinance n� 340 of 30 June 2020 extended the restriction on entry of foreigners for 30 days and revoked Ordinances 255/2020 and 319/2020."
Brazil,2020-07-01,Movement restrictions,Border closure,TEMPORARY BAN ON DISEMBARK OF CREWMEMBERS AT BRAZILIAN PORTS EXTENDED (UPDATE 1 JULY 2020)
Brazil,2020-07-06,Social distancing,Closure of businesses and public services,"July 6, and restaurants, bars, and beauty salons will be able to reopen"
Brazil,2020-07-22,Public health measures,Strengthening the public health system,"The Ministry of Health has committed to sending another 100 lung ventilators to serve Covid-19 patients in the state of Rio Grande do Sul. Eduardo Pazuello, and the state governor, Eduardo Leite, during a working meeting at the Piratini Palace, in Porto Alegre. To date, 411 lung ventilators have been delivered to the state. The portfolio will also deliver 475 cardiac monitors."
Brazil,2020-07-29,Public health measures,Strengthening the public health system,"The Central Public Health Laboratories (LACEN) has an increase of R $ 120 million to invest in the acquisition of equipment to improve the structure of the units. The action strengthens Laboratorial Surveillance in facing Covid-19. The Ministry of Health will make the transfer in a single installment to the states and the Federal District, considering the emergency by the new Coronavirus.. The resource will be invested in the acquisition of equipment to guarantee the strengthening and better structure of LACEN. This measure is important for the Rapid Response Units in responding quickly to laboratory demands in the midst of a pandemic."
Brazil,2020-07-29,Movement restrictions,International flights suspension,"the government announced that it will lift a ban on foreign travelers entering the country,"
Brazil,2020-07-29,Movement restrictions,Additional health/documents requirements upon arrival,foreign travelers entering the country must have health insurance coverage for their trip.
Brazil,2020-08-07,Social distancing,Schools closure,"State of S�o Paulo's Governor Jo�o Doria postponed the easing of some restrictions on Friday, August 7, due to the coronavirus disease (COVID-19) pandemic. The reopening of public and private schools was postponed to October 7. However, public and private schools in regions that have been in the yellow phase of the economic easing plan for Sao Paulo state for 28 days will be allowed to reopen from September 8 for support classes and optional activities only."
Brazil,2020-08-09,Social distancing,Closure of businesses and public services,Several main cities are continuing to reopen by allowing businesses and restaurants to resume operations.
Brazil,2020-08-09,Public health measures,Requirement to wear protective gear in public,"The use of face masks remains mandatory in S�o Paulo, Rio de Janeiro, Belo Horizonte, and Bras�lia in essential commercial establishments, such as supermarkets and pharmacies, as well as on public transport."
Brazil,2020-08-26,Movement restrictions,Visa restrictions,"Effective August 26, Brazil extended the restrictions on entry of foreigners by land (unless for transit) and sea, through at least September 24."
Brazil,2020-08-26,Movement restrictions,Additional health/documents requirements upon arrival,"The August 26 decree changes previous requirements and now stipulates that foreign travelers entering Brazil by air, for a short stay of up to 90 days, must present proof of purchase of health insurance, in English or Portuguese, that is valid in Brazil for the entire period of the trip with minimum coverage of 30,000 Brazilian reais to an airline agent prior to boarding. Failure to provide this could result in the denial of entry by Brazilian authorities."
Egypt,2020-03-15,Social distancing,Schools closure,All school and univerisies (until at least 28. march)
Egypt,2020-03-15,Social distancing,Closure of businesses and public services,All large public events
Egypt,2020-03-17,Governance and socio-economic measures,Economic measures,"government has introduced several economic measures to reduce impact to key sectors, delayed taxes and banks have cut interest rates, etc."
Egypt,2020-03-17,Public health measures,Isolation and quarantine policies,14-day quarantine in all cases
Egypt,2020-03-19,Movement restrictions,International flights suspension,Air traffic suspended.
Egypt,2020-03-19,Movement restrictions,International flights suspension,All International passenger flights (at least until 31. March) *Cargo and domestic flights are uneffected
Egypt,2020-03-19,Public health measures,Health screenings in airports and border crossings,"People who have been in Bahrain, China (Hong Kong and Macao SARs), France, Germany, Iran, Iraq, Italy, Japan, South Korea, Kuwait, Malaysia, Singapore, Switzerland, Spain, Thailand, or Vietnam will be screened upon arrival, and followed up with for a period of 14 days."
Egypt,2020-03-24,Movement restrictions,Visa restrictions,"All visa interviews, including for Non-Immigrant Visas and Immigrant Visas, have been suspended until further notice."
Egypt,2020-03-25,Movement restrictions,Curfews,two weeks the Government of Egypt will begin enforcing a nighttime curfew from 7:00 p.m. to 6:00 a.m. Anyone who violates the curfew could face a 4000 EGP fine or possible imprisonment.
Egypt,2020-03-25,Movement restrictions,International flights suspension,"extended: The suspension of incoming commercial passenger flights into Egypt has also been extended for two weeks beyond March 31.  (April 14, 2020)"
Egypt,2020-03-25,Social distancing,Schools closure,Extended for an additional 2 weeks until 14. april
Egypt,2020-03-25,Public health measures,Strengthening the public health system,All non-health government services are currently suspended. Expiring government documents will be extended for two weeks (14. april).
Egypt,2020-03-25,Movement restrictions,Domestic travel restrictions,All public transport will be closed during the curfew.
Egypt,2020-03-29,Public health measures,Other public health measures enforced,"Egyptian authorities closed several hospitals on Sunday, March 29, to disinfect facilities after staff became infected with COVID-19. The affected hospitals include al-Salam hospital, the Alexandria University Hospital (north), and al-Shorouk Hospital in Cairo."
Egypt,2020-03-29,Public health measures,Isolation and quarantine policies,"several villages across a variety of governorates have been placed under quarantine as of Saturday, March 28, in Upper Egypt due to the amount of local transmissions."
Egypt,2020-03-29,Governance and socio-economic measures,Economic measures,"On March 29, the Central Bank of Egypt announced a temporary daily cash withdrawal limits of 10,000 Egyptian pounds (USD 636) for individuals and 50,000 Egyptian pounds (USD 3184) for companies. ATM withdrawals are capped at 5000 Egyptian pounds (USD 318). The bank also encouraged the use of digital bank transfers and electronic payments to reduce contact and exposure. Associated fees have been waived."
Egypt,2020-03-30,Public health measures,Strengthening the public health system,WHO approved Clinical Trials for COVID-19 treatment/race for cure.
Egypt,2020-03-31,Public health measures,Isolation and quarantine policies,Reutning citizens: must sign an acknowledgement agreeing to go through mandatory quarantine before allowed to board flights home. They will be quarantined in hotels at their own costs for 28 days but don�t need to pay for medical charges.
Egypt,2020-04-07,Social distancing,Limit public gatherings,Government Bans Religious Gatherings during Ramadan
Egypt,2020-04-09,Movement restrictions,International flights suspension,"Flights to Egypt are suspended until 23 April 2020. *except: humanitarian, repatriation and United Nations flights with a pre-authorization from the Egyptian Civil Aviation Authority and Cargo"
Egypt,2020-04-13,Governance and socio-economic measures,Emergency administrative structures activated or established,EGYPTIAN CIVIL AVIATION AUTHORITY. CREATED: 13 Apr 2020
Egypt,2020-04-21,Movement restrictions,Curfews,"Curfew was also announced in some areas of North Sinai governorate from 19.00 to 06.00, with an exception to the capital of governorate al-Arish, where night-time curfew timing is 01.00-05.00."
Egypt,2020-04-23,Movement restrictions,Curfews,"extended until further notice and will now begin an hour later, at 8:00 pm, and go until 6:00 am."
Egypt,2020-04-28,Governance and socio-economic measures,State of emergency declared,extended until 17 May
Egypt,2020-04-28,Social distancing,Limit public gatherings,extended until 17 May: All public gatherings will be banned
Egypt,2020-04-28,Social distancing,Schools closure,extended until further notice
Egypt,2020-04-28,Social distancing,Closure of businesses and public services,"extended: Museums, movie theatres, shopping centres will remain closed until further notice."
Egypt,2020-04-28,Governance and socio-economic measures,State of emergency declared,The state of emergency was extended on 28 April for at least three months.
